City,Temp,Pressure,Humidity,Wind,Clouds,Lat,Long,Count
filadelfia,13.75,1015.83,40.0,3.58,100.0,-22.35,-60.04,364.0
rawlins,23.35,1020.0,38.0,4.1,1.0,41.79,-107.24,365.0
salamanca,24.16,1027.0,47.0,1.73,75.0,20.57,-101.19,366.0
hede,8.53,1000.0,93.0,2.1,100.0,60.45,15.49,367.0
dong xoai,24.15,1010.2,92.0,1.99,85.0,11.53,106.92,368.0
saint anthony,18.81,1018.0,48.0,4.1,1.0,43.97,-111.68,369.0
souillac,31.7,1014.0,41.0,4.6,0.0,45.6,-0.6,370.0
waitati,6.67,1028.0,73.0,9.83,94.0,-45.75,170.57,371.0
inta,21.05,997.43,62.0,3.97,38.0,66.04,60.13,372.0
labuhan,21.85,1011.56,94.0,0.66,70.0,-2.54,115.51,373.0
discovery bay,32,1013.0,62.0,9.8,20.0,18.46,-77.4,374.0
suoyarvi,14.25,998.71,59.0,2.81,36.0,62.08,32.35,375.0
taonan,20,1016.0,71.0,0.89,53.0,45.34,122.78,376.0
gobabis,15,1026.0,14.0,1.5,0.0,-22.45,18.97,377.0
saint-pierre,26.3,1019.0,31.0,4.6,0.0,48.95,4.24,378.0
chupa,18,1033.0,3.0,1.5,0.0,-15.11,-69.99,379.0
qiongshan,27,1004.0,83.0,2.0,0.0,20.01,110.35,380.0
cervo,21,1016.0,56.0,3.15,40.0,-22.19,-46.24,381.0
palmas de monte alto,32.55,1010.26,24.0,2.59,0.0,-14.26,-43.16,382.0
mon,26.45,999.72,89.0,1.81,100.0,26.73,95.03,383.0
khandyga,11.05,1004.54,65.0,1.83,84.0,62.65,135.58,384.0
charleston,32.57,1016.0,70.0,3.6,20.0,32.79,-79.94,385.0
cap malheureux,21.3,1020.0,78.0,3.1,40.0,-19.98,57.61,386.0
juneau,17.44,1019.0,77.0,3.6,1.0,58.3,-134.42,387.0
ulaangom,17.05,1009.19,42.0,1.71,100.0,49.98,92.07,388.0
dzilam gonzalez,27.05,1014.46,84.0,5.82,0.0,21.28,-88.93,389.0
rognan,9.77,1005.0,87.0,3.6,75.0,67.1,15.4,390.0
big rapids,30.29,1016.0,62.0,3.69,75.0,43.7,-85.48,391.0
saint john,29,1016.0,45.0,3.6,40.0,45.28,-66.06,392.0
balkanabat,34.35,1007.71,15.0,2.44,0.0,39.51,54.36,393.0
altay,11.65,1013.3,82.0,1.26,100.0,47.83,88.13,394.0
lata,7.75,1005.37,88.0,1.11,82.0,30.78,78.62,395.0
acahay,14.75,1017.15,53.0,4.52,31.0,-25.91,-57.11,396.0
cairns,16.79,1015.0,82.0,4.1,15.0,-16.92,145.77,397.0
salta,11.1,1018.0,71.0,2.1,75.0,-24.79,-65.41,398.0
egvekinot,6.35,1013.8,92.0,6.14,73.0,66.32,-179.17,399.0
nouadhibou,23,1011.0,69.0,9.8,0.0,20.93,-17.03,400.0
jizan,34,1004.0,52.0,1.5,20.0,16.89,42.56,401.0
payo,19.15,1012.07,97.0,1.4,12.0,-3.75,103.64,402.0
japura,23.35,1011.55,96.0,0.96,44.0,-0.42,102.29,403.0
san patricio,14.45,1018.07,51.0,4.08,0.0,-26.98,-56.83,404.0
la libertad,22,1024.0,8.0,4.1,0.0,-16.38,-71.56,405.0
cehegin,26.95,1015.0,51.0,4.6,0.0,38.09,-1.8,406.0
jalu,30.65,1012.06,17.0,2.98,0.0,29.03,21.55,407.0
kamaishi,12.35,1006.72,97.0,0.76,37.0,39.28,141.86,408.0
minab,34,996.0,79.0,2.1,0.0,27.15,57.07,409.0
salalah,28,1001.0,94.0,2.6,75.0,17.01,54.1,410.0
ritchie,12,1023.0,40.0,2.71,0.0,-29.03,24.6,411.0
coffs harbour,13.67,1030.0,93.0,4.1,75.0,-30.3,153.13,412.0
galveston,30.95,1016.0,52.0,4.1,20.0,40.58,-86.19,413.0
ternate,28.34,1010.0,74.0,2.1,20.0,14.29,120.72,414.0
saldanha,27.95,1013.08,24.0,4.08,94.0,41.42,-6.55,415.0
grindavik,11.47,1010.0,81.0,7.7,75.0,63.84,-22.43,416.0
honningsvag,8.58,998.0,87.0,3.1,75.0,70.98,25.97,417.0
tura,19.75,1003.77,69.0,2.79,68.0,64.27,100.22,418.0
linxi,27,1006.0,100.0,3.0,75.0,23.65,116.7,419.0
victoria,25.55,1011.0,94.0,2.68,75.0,5.28,115.24,420.0
lumeje,19.45,1014.61,36.0,1.74,0.0,-11.56,20.78,421.0
guerrero negro,17.85,1012.51,86.0,5.17,0.0,27.97,-114.04,422.0
karratha,20.55,1015.67,81.0,2.02,20.0,-20.74,116.85,423.0
flinders,12.87,1035.0,100.0,4.1,90.0,-34.58,150.85,424.0
antsohihy,25.15,1017.17,62.0,5.27,6.0,-14.88,47.99,425.0
hitachi,18.57,1006.0,93.0,3.1,40.0,36.6,140.65,426.0
leningradskiy,1.95,1011.68,98.0,2.04,100.0,69.38,178.42,427.0
monrovia,25,1012.0,94.0,2.1,75.0,6.33,-10.8,428.0
novobirilyussy,15.95,1007.57,95.0,1.11,98.0,56.95,90.69,429.0
koppal,24.75,1007.48,76.0,10.68,99.0,15.35,76.15,430.0
vao,12.45,1004.42,72.0,1.05,64.0,59.1,26.19,431.0
richards bay,20.55,1017.5,63.0,3.52,0.0,-28.77,32.06,432.0
chinhoyi,15.25,1019.75,36.0,2.83,0.0,-17.36,30.19,433.0
northam,10,1012.0,93.0,1.5,90.0,-31.65,116.67,434.0
tomatlan,30.55,1011.96,54.0,2.98,0.0,19.93,-105.25,435.0
korhogo,27.45,1008.78,79.0,3.08,88.0,9.46,-5.63,436.0
camacha,21.57,1018.0,83.0,6.7,75.0,33.08,-16.33,437.0
pangody,23.75,1002.63,59.0,4.1,86.0,65.85,74.49,438.0
talnakh,14,1009.0,62.0,9.0,0.0,69.49,88.39,439.0
ostrovnoy,9.25,996.99,95.0,5.17,100.0,68.05,39.51,440.0
shelburne,30.52,1017.0,48.0,5.7,20.0,44.08,-80.2,441.0
pullman,21.89,1017.0,40.0,2.1,1.0,46.73,-117.17,442.0
plouzane,21.42,1020.0,60.0,6.2,0.0,48.38,-4.62,443.0
cascais,20.44,1016.0,77.0,3.6,20.0,38.7,-9.42,444.0
inuvik,13.55,1021.0,93.0,2.6,90.0,68.36,-133.71,445.0
barahona,31,1016.0,62.0,5.1,40.0,18.21,-71.1,446.0
nata,19.35,1020.02,25.0,4.53,0.0,-20.21,26.19,447.0
quimper,23.58,1018.0,47.0,3.1,0.0,48.0,-4.1,448.0
port blair,28.85,1008.23,82.0,9.49,100.0,11.67,92.75,449.0
staryy nadym,21.15,1002.01,72.0,1.58,54.0,65.61,72.68,450.0
verkhnyaya inta,21.05,997.43,62.0,3.97,38.0,65.99,60.32,451.0
yuncheng,23.75,1003.59,51.0,0.49,0.0,35.03,111.0,452.0
cam ranh,29,1008.0,62.0,5.7,20.0,11.92,109.15,453.0
steamboat springs,23.58,1020.0,31.0,2.6,1.0,40.48,-106.83,454.0
la orilla,30.45,1012.42,61.0,4.24,100.0,18.0,-102.23,455.0
portland,30.66,1018.0,42.0,5.1,75.0,43.66,-70.25,456.0
aguimes,23.63,1017.0,69.0,12.3,20.0,27.91,-15.45,457.0
port dover,28.61,1017.0,69.0,1.5,75.0,42.79,-80.2,458.0
malinovskiy,11.85,1011.38,76.0,3.07,14.0,54.15,34.53,459.0
soller,22.82,1022.0,45.0,2.1,62.0,50.73,6.56,460.0
jardim,16.05,1012.89,95.0,1.54,92.0,-21.48,-56.15,461.0
ambanja,26.35,1016.42,70.0,3.07,75.0,-13.68,48.45,462.0
ferme-neuve,31.45,1016.23,33.0,2.76,36.0,46.7,-75.45,463.0
comodoro rivadavia,5,1025.0,65.0,1.0,20.0,-45.87,-67.48,464.0
mae sot,22.25,1006.34,99.0,2.21,100.0,16.71,98.57,465.0
clyde river,2,1020.0,100.0,2.6,90.0,70.47,-68.59,466.0
san jose,32,1016.0,38.0,5.7,1.0,14.25,-87.96,467.0
bumba,23.75,1009.18,86.0,1.46,36.0,2.18,22.47,468.0
touros,29,1012.0,74.0,5.7,75.0,-5.2,-35.46,469.0
bukachacha,5.25,1011.84,73.0,1.69,0.0,52.99,116.91,470.0
lakselv,10,999.0,81.0,10.8,75.0,70.05,24.96,471.0
cadillac,29.96,1016.0,58.0,3.1,40.0,44.25,-85.4,472.0
taitung,17.85,1007.16,79.0,3.27,100.0,22.76,121.15,473.0
bauchi,25.75,1009.27,72.0,3.79,86.0,10.31,9.85,474.0
effingham,31.06,1016.0,62.0,2.6,40.0,39.12,-88.54,475.0
kulhudhuffushi,28.55,1010.67,76.0,4.75,83.0,6.62,73.07,476.0
dunkwa,24.05,1011.61,97.0,1.8,100.0,5.97,-1.78,477.0
micheweni,26.25,1015.64,78.0,10.48,12.0,-4.97,39.83,478.0
pershotravneve,14.35,1017.01,78.0,2.84,41.0,50.29,32.43,479.0
mantua,28.53,1016.0,51.0,2.1,0.0,45.16,10.79,480.0
novopskov,16.05,1015.41,65.0,2.66,45.0,49.54,39.1,481.0
bathsheba,29,1014.0,79.0,9.3,40.0,13.22,-59.52,482.0
naryan-mar,18.15,996.39,84.0,3.14,83.0,67.67,53.09,483.0
birin,17.45,1004.31,94.0,0.89,90.0,26.89,88.07,484.0
henties bay,16.11,1019.0,72.0,5.25,0.0,-22.12,14.28,485.0
vanimo,27.15,1010.37,77.0,2.59,43.0,-2.67,141.3,486.0
panorama,22.25,1010.68,83.0,2.66,57.0,-21.35,-51.86,487.0
moron,28.25,1015.09,71.0,1.87,60.0,18.56,-74.26,488.0
kinston,33.05,1016.0,44.0,2.6,1.0,35.26,-77.58,489.0
natal,29,1013.0,70.0,6.7,40.0,-5.81,-35.21,490.0
buinsk,12.15,1007.38,78.0,4.05,4.0,54.97,48.29,491.0
pochutla,32.27,1012.0,59.0,2.38,75.0,15.74,-96.47,492.0
lazaro cardenas,31.06,1019.0,25.0,3.6,40.0,28.39,-105.62,493.0
sept-iles,20.13,1014.0,60.0,3.6,40.0,50.2,-66.38,494.0
lufilufi,23,1012.0,100.0,2.1,75.0,-13.87,-171.6,495.0
strezhevoy,18,1001.0,100.0,2.0,65.0,60.73,77.6,496.0
aosta,24.06,1017.0,51.0,6.7,7.0,45.74,7.32,497.0
sao jose da coroa grande,26.45,1012.89,81.0,3.12,50.0,-8.9,-35.15,498.0
lalin,20,1000.0,88.0,4.0,40.0,45.23,126.86,499.0
brigham city,22.65,1016.0,35.0,0.73,40.0,41.51,-112.02,500.0
petropavlovsk-kamchatskiy,9,1014.0,100.0,1.0,90.0,53.05,158.65,501.0
fairbanks,16.56,1025.0,67.0,2.1,90.0,64.84,-147.72,502.0
grootfontein,9.85,1019.08,45.0,2.42,0.0,-19.56,18.1,503.0
rincon,23.8,1009.0,70.0,3.1,40.0,8.46,-82.28,504.0
baracoa,29.15,1015.01,70.0,4.51,0.0,20.35,-74.5,505.0
kiskunhalas,24.45,1018.0,38.0,2.1,0.0,46.43,19.48,506.0
namatanai,26.15,1009.72,84.0,6.49,90.0,-3.66,152.44,507.0
huanuco,27,1019.0,34.0,7.2,20.0,-9.93,-76.24,508.0
calama,21,1024.0,11.0,5.7,0.0,-22.46,-68.93,509.0
tondon,26.65,1011.41,87.0,2.47,83.0,10.37,-13.36,510.0
dzhebariki-khaya,8.45,1004.8,83.0,1.64,88.0,62.22,135.8,511.0
kpandae,27.05,1010.58,80.0,3.66,91.0,8.46,-0.01,512.0
nacimiento,10,1024.0,71.0,6.7,20.0,-37.5,-72.67,513.0
bonfim,32.05,1009.69,53.0,4.32,18.0,3.36,-59.84,514.0
muisne,28,1011.0,83.0,3.1,90.0,0.61,-80.02,515.0
warrington,18,1023.0,42.0,4.6,0.0,53.39,-2.59,516.0
necochea,7.78,1017.0,65.0,5.81,100.0,-38.55,-58.74,517.0
brae,11,1014.0,81.0,5.1,100.0,60.4,-1.35,518.0
bend,21.44,1018.0,28.0,1.22,1.0,44.06,-121.32,519.0
linxia,15.05,1009.5,46.0,4.99,0.0,35.6,103.21,520.0
inhambane,19,1021.0,77.0,2.55,0.0,-23.87,35.38,521.0
birao,29.65,1008.58,50.0,1.84,39.0,10.3,22.78,522.0
arauca,32,1012.0,59.0,2.6,20.0,7.08,-70.76,523.0
port augusta,4.67,1028.0,100.0,2.1,0.0,-32.49,137.76,524.0
nizhnyaya tavda,13.85,1000.46,96.0,2.34,65.0,57.67,66.17,525.0
jimma,14.75,1015.01,95.0,0.52,77.0,7.67,36.84,526.0
aksarka,19.85,1001.26,77.0,4.5,48.0,66.56,67.8,527.0
sao joao da barra,27.44,1010.0,58.0,5.1,0.0,-21.64,-41.05,528.0
vyritsa,14.68,1005.0,54.0,5.0,20.0,59.41,30.35,529.0
thinadhoo,28.85,1010.61,78.0,4.59,82.0,0.53,72.93,530.0
lilongwe,18.45,1019.51,51.0,3.29,74.0,-13.97,33.79,531.0
mizan teferi,18.15,1012.66,96.0,1.19,95.0,6.99,35.58,532.0
langsa,20.85,1011.18,94.0,1.17,96.0,4.47,97.97,533.0
srednekolymsk,10.35,1006.27,76.0,5.43,100.0,67.46,153.71,534.0
